experiment,n_test,rmse_m,mae_m,r2,held_out_buoys
random_split,1605,0.01398805528271047,0.007872014087844019,0.9941901252349654,
buoy_held_out,1349,0.15981770980584847,0.1393105577421244,-3.0038119692739693,"2014B,2015A,2015E"
