experiment,n_test,rmse_m,mae_m,r2,held_out_buoys
random_split,2252,0.020140238394302894,0.007351629133537982,0.9847760985339238,
buoy_held_out,931,0.18254436730423737,0.17265116215042967,-2.966095082722871,"2014B,2015E,2015I"
