experiment,n_test,rmse_m,mae_m,r2,held_out_buoys
random_split,2252,0.018171956469466583,0.0066041843097504205,0.9876063243486549,
buoy_held_out,931,0.17840272873263602,0.16774402237157576,-2.7881680249942677,"2014B,2015E,2015I"
