experiment,n_test,rmse_m,mae_m,r2,held_out_buoys
random_split,2252,0.056750691496973454,0.01906235567339804,0.8791242822081801,
buoy_held_out,931,0.21161894647539548,0.17564252034172645,-4.330099843984,"2014B,2015E,2015I"
